date,AOR
2020-11-19,48.8583
2020-11-20,48.8979
2020-11-23,48.9839
2020-11-24,49.4082
2020-11-25,49.3983
2020-11-27,49.593
2020-11-30,49.2262
2020-12-01,49.5832
2020-12-02,49.6494
2020-12-03,49.7276
2020-12-04,49.9777
2020-12-07,49.8521
2020-12-08,50.0162
2020-12-09,49.7928
2020-12-10,49.9006
2020-12-11,49.8621
2020-12-14,49.7839
2020-12-15,50.1894
2020-12-16,50.1705
2020-12-17,50.4583
2020-12-18,50.3248
2020-12-21,50.0162
2020-12-22,49.9392
2020-12-23,50.132
2020-12-24,50.2971
2020-12-28,50.4603
2020-12-29,50.5591
2020-12-30,50.666
2020-12-31,50.6264
2021-01-04,50.4998
2021-01-05,50.7529
2021-01-06,50.9269
2021-01-07,51.1791
2021-01-08,51.4609
2021-01-11,51.188
2021-01-12,51.2849
2021-01-13,51.3344
2021-01-14,51.4214
2021-01-15,51.0832
2021-01-19,51.3828
2021-01-20,51.7418
2021-01-21,51.7615
2021-01-22,51.6053
2021-01-25,51.6646
2021-01-26,51.6834
2021-01-27,50.8192
2021-01-28,51.1307
2021-01-29,50.48
2021-02-01,50.9853
2021-02-02,51.4016
2021-02-03,51.4214
2021-02-04,51.6251
2021-02-05,51.7615
2021-02-08,52.072
2021-02-09,52.1304
2021-02-10,52.1106
2021-02-11,52.255
2021-02-12,52.3439
2021-02-16,52.3242
2021-02-17,52.2846
2021-02-18,52.0908
2021-02-19,52.1304
2021-02-22,51.809
2021-02-23,51.809
2021-02-24,52.1007
2021-02-25,51.1791
2021-02-26,51.0733
2021-03-01,51.7902
2021-03-02,51.6152
2021-03-03,51.2365
2021-03-04,50.7154
2021-03-05,51.2078
2021-03-08,50.9468
2021-03-09,51.4709
2021-03-10,51.6251
2021-03-11,52.0621
2021-03-12,51.8773
2021-03-15,52.1402
2021-03-16,52.1304
2021-03-17,52.2648
2021-03-18,51.7318
2021-03-19,51.7902
2021-03-22,51.9365
2021-03-23,51.5193
